¿Cómo se llaman los soldados en las películas de Star Wars?,stormtroopers
¿Cómo se llamó la caricatura ochentera sobre una familia del futuro?,supersónicos
¿Quién dibujaba a Mafalda?,Quino
¿Cuántos gatos integran a Don Gato y su pandilla?,6
¿Cómo se llama la protagonista de la película “El Exorcista”?,Regan
¿De dónde proviene el Dios del trueno “Thor”?,Asgard
¿Quién es el personaje más irónico de “Big bang Theory”?,Sheldon
¿En Turquía existe una ciudad llamada Batman?,si
¿Cuántas esferas del dragon hay?,7
¿Cómo se llama el conductor del camión escolar en “Los Simpson”?,Otto
